"Language","Variable","Importance","MDA_scaled"
"Samoyedic","T_mean",21.2267690097348,0.925619190376999
"Samoyedic","T_seasonal",15.6378502545711,0.616847882745996
"Samoyedic","P_annual",20.239510908872,0.871076086759495
"Samoyedic","P_seasonal",14.7774488274757,0.569313236892292
"Samoyedic","snow_mean",10.1557469257222,0.313977812957807
"Samoyedic","permafrost",10.8128977694773,0.350283462444945
"Samoyedic","dem_mean",15.7635919723298,0.623794742472706
"Samoyedic","roughness",15.8467510704985,0.628389037828899
"Samoyedic","river_length",5.39335274388918,0.0508695547423392
"Samoyedic","lake_dist",6.36330600570573,0.104456616947412
"Samoyedic","sea_dist",14.078119261663,0.530677337184228
"Samoyedic","woodland",5.54091628952352,0.0590220062164436
"Samoyedic","swamp",5.2335436865405,0.0420405747963993
"Samoyedic","soil_quality",4.47258775847789,0
"Samoyedic","biodiversity",22.5730997459541,1
